participant_id,has_fixation_data,has_interest_area_data,has_saccade_data
edf01,True,True,True
edf03,True,True,True
edf04,True,True,True
edf05,True,True,True
edf06,True,True,True
edf07,True,True,True
edf08,True,True,True
edf09,True,True,True
edf10,True,True,True
edf11,True,True,True
edf12,True,True,True
edf13,True,True,True
edf14,True,True,True
edf15,True,True,True
edf16,True,True,True
edf17,True,True,True
edf18,True,True,True
edf19,True,True,True
edf20,True,True,True
edf21,True,True,True
edf22,True,True,True
edf23,True,True,True
edf24,True,True,True
edf25,True,True,True
edf26,True,True,True
edf27,True,True,True
edf28,True,True,True
edf29,True,True,True
edf30,True,True,True
edf31,True,True,True
edf32,True,True,True
edf33,True,True,True
edf34,True,True,True
edf35,True,True,True
edf36,True,True,True
edf37,True,True,True
edf38,True,True,True
edf39,True,True,True
edf40,True,True,True
edf41,True,True,True
edf42,True,True,True
edf43,True,True,True
edf44,True,True,True
edf46,True,True,True
edf47,True,True,True
edf48,True,True,True
edf49,True,True,True
edf50,True,True,True
P45,True,True,True
