image_id,n_trials,x_mean,x_median,x_std,x_min,x_max,y_mean,y_median,y_std,y_min,y_max
IMG_01,103,947.0,955.3,76.44,401.1,1337.0,520.34,532.1,71.98,150.1,706.6
IMG_02,102,956.09,954.55,69.88,711.0,1229.3,531.96,528.8,75.84,415.3,1180.1
IMG_03,103,955.81,954.8,53.55,726.0,1269.9,531.11,532.9,67.02,159.0,809.2
IMG_04,103,946.18,952.7,59.72,655.9,1201.1,523.21,530.3,59.08,244.7,704.7
IMG_05,102,953.11,958.05,37.73,771.0,1119.7,523.13,536.0,62.38,148.5,651.6
IMG_06,103,954.59,957.9,100.67,147.1,1330.3,538.45,533.5,115.74,50.7,1275.3
IMG_07,101,945.51,956.0,57.52,632.0,1059.3,522.97,533.8,67.79,189.9,799.3
IMG_08,103,952.41,954.9,39.52,823.0,1128.6,525.56,531.2,50.56,252.6,649.0
IMG_09,103,948.46,953.7,42.84,709.4,1036.6,527.79,535.6,67.81,83.2,663.1
IMG_10,103,953.39,957.0,67.87,749.6,1495.0,531.82,536.9,42.15,390.6,711.4
IMG_11,102,945.68,953.5,53.33,689.4,1038.3,535.96,534.05,64.84,289.7,1001.1
IMG_12,102,949.57,955.45,49.13,630.3,1046.4,528.22,527.05,35.55,395.6,651.3
IMG_13,103,943.66,954.1,77.21,385.6,1309.2,526.68,532.8,54.56,217.2,656.5
IMG_14,103,940.55,954.6,83.55,290.1,1088.1,529.01,531.2,53.6,138.9,693.1
IMG_15,103,953.79,953.1,70.93,633.4,1467.6,525.12,530.9,46.71,266.7,650.9
IMG_16,103,953.82,957.4,32.9,762.7,1020.9,531.41,535.9,45.6,310.3,660.1
IMG_17,103,939.86,950.6,73.17,447.4,1030.4,532.72,535.7,42.06,388.0,667.7
IMG_18,103,951.56,955.0,53.08,658.0,1144.3,534.62,532.6,64.9,250.5,834.5
